Sl,Id,Conservation,Opennesstochange,Hedonism,SelfEnhancement,SelfTranscendience
340,FreakyKIOTL,0.71106,0.985078,0.998981,0.790094,0.813082
288,emillliiioooooo,0.677053,0.943813,0.995397,0.615805,0.745615
859,ottoclark__,0.585018,0.983257,0.993399,0.685999,0.782232
531,joeyzsazsa105,0.735538,0.922082,0.990798,0.631904,0.535008
653,Likkle_Koolie,0.685796,0.948578,0.989643,0.453656,0.532848
832,NikeGirlCheck,0.645969,0.926073,0.986483,0.511713,0.647918
199,DaGrimOneArtist,0.633556,0.958409,0.986167,0.767606,0.649733
710,MathiasJones_,0.784773,0.84366,0.986135,0.559126,0.402258
611,KMJerrod,0.772829,0.883802,0.985624,0.495704,0.51259
221,deadlyclaris,0.294893,0.973481,0.984782,0.743127,0.774144
783,Mr_Grantster,0.607922,0.870954,0.982874,0.715353,0.503017
759,miszrina,0.684174,0.845818,0.982355,0.50142,0.623465
770,Mojo1130,0.880491,0.922044,0.982129,0.223053,0.921949
806,NaelyKnows,0.206699,0.887117,0.97813,0.400963,0.714857
232,DiamondKesawn,0.702939,0.877152,0.976139,0.694726,0.4586
679,lttleprincess_,0.601203,0.949299,0.975306,0.748603,0.713454
841,NotoriousSIG_,0.33379,0.908863,0.975249,0.511726,0.649134
457,JadoreKarma,0.68272,0.997803,0.972222,0.903841,0.841639
604,KirstyyyM09,0.512702,0.775343,0.970923,0.536402,0.37059
752,MiniMouse215,0.494094,0.969868,0.970472,0.796923,0.763005
1073,tonychesneyfan,0.724764,0.977447,0.97029,0.434908,0.853371
984,ShE_iSiT,0.626772,0.818356,0.969258,0.438593,0.52769
238,djjoeyblayze,0.673806,0.716611,0.967774,0.49002,0.310795
453,Jackdc13,0.612343,0.622805,0.967054,0.557542,0.185228
1063,Tiwaina,0.819201,0.904693,0.965161,0.605177,0.661703
1021,stretchd,0.583665,0.70595,0.964546,0.490222,0.470436
565,JUMPINSOUNDS,0.604823,0.840708,0.962759,0.813808,0.514521
153,cbaccam23,0.465052,0.580597,0.961725,0.432066,0.166668
681,LukasSetto,0.516537,0.951491,0.960512,0.532702,0.685698
578,katek4307,0.557964,0.904422,0.959476,0.46596,0.57697
